,20s,30s,40s,50s,over,married,single,divorced,primary,secondary,tertiary,unknown,housing,loan,y
53,,X,,,,X,,,,,X,,X,,X
54,,,,X,,X,,,,X,,,X,,
55,,,X,,,X,,,,X,,,X,,
56,,,,X,,X,,,,X,,,,X,
57,,X,,,,,X,,,,X,,,,
58,,X,,,,,X,,,X,,,X,X,
59,,,,X,,,,X,,X,,,X,X,
60,,,X,,,X,,,X,,,,,X,
61,,,,,X,X,,,,X,,,X,,
62,,,X,,,X,,,,,X,,,,
63,,,X,,,X,,,,X,,,,,
64,,,,X,,X,,,,X,,,,,
65,,,,X,,,,X,,X,,,X,,
66,,X,,,,X,,,,X,,,X,,
67,X,,,,,X,,,,X,,,X,,
68,,,X,,,X,,,,X,,,,X,
69,,X,,,,,X,,,,X,,,,
70,,X,,,,X,,,,,X,,,,X
71,,,X,,,,,X,,,X,,X,,
72,,X,,,,,X,,,,X,,X,,
73,,,X,,,X,,,,,X,,X,,
74,,,,X,,X,,,,X,,,X,,
75,,,,X,,,,X,,,X,,,,
76,,,X,,,,,X,,X,,,X,,
77,,,X,,,,X,,,X,,,,X,
78,,,,X,,,,X,X,,,,,,
79,,,X,,,X,,,,X,,,X,,
80,X,,,,,,,X,,X,,,X,,X
81,,,,,X,X,,,X,,,,,,
82,X,,,,,,X,,,X,,,X,X,
83,,,,X,,X,,,,X,,,,,X
84,,X,,,,X,,,,,X,,,,X
85,,,,X,,X,,,X,,,,X,,
86,,,X,,,,X,,,X,,,,X,
87,,X,,,,,X,,X,,,,X,,
88,,X,,,,X,,,,X,,,X,,
89,,X,,,,X,,,,X,,,X,,
90,,X,,,,X,,,X,,,,,,
91,,X,,,,X,,,X,,,,X,,
92,X,,,,,,X,,,X,,,X,,X
93,,X,,,,,X,,,,X,,,,
94,,,,X,,X,,,,X,,,,,
95,,,X,,,,X,,,,X,,,,
96,,,X,,,X,,,,,X,,X,,
97,,X,,,,,X,,,,X,,,,
98,,X,,,,,,X,,X,,,,,
99,,X,,,,,X,,X,,,,,,X
100,,X,,,,X,,,,X,,,X,,
101,,X,,,,,X,,,,X,,X,,
102,,,X,,,X,,,,X,,,,,
103,,,,X,,,X,,X,,,,X,,
104,,X,,,,,X,,,X,,,,,
105,,X,,,,,X,,,,X,,X,,
106,,X,,,,X,,,,X,,,X,X,
107,,X,,,,X,,,,,X,,X,,
108,,,,X,,X,,,X,,,,,,X
109,X,,,,,X,,,X,,,,X,,
110,X,,,,,,X,,,X,,,,,X
111,,,,X,,X,,,,,X,,X,,
112,,X,,,,X,,,,X,,,X,X,
113,,X,,,,,X,,,X,,,,,
114,X,,,,,,X,,,X,,,,,X
115,X,,,,,,X,,,X,,,,X,X
116,,X,,,,X,,,,X,,,X,,
117,X,,,,,,X,,,X,,,,X,
118,,X,,,,X,,,X,,,,,,
119,,,X,,,,,X,,,X,,,,
120,,X,,,,,,X,,X,,,X,,
121,,,X,,,X,,,X,,,,,,
122,,X,,,,X,,,,X,,,X,,
123,,X,,,,X,,,,X,,,,X,
124,,,,X,,,X,,,,X,,X,,
125,,X,,,,,X,,,,X,,,,X
126,X,,,,,,X,,,X,,,,,
127,,,X,,,,X,,,X,,,,X,
128,,X,,,,,X,,,X,,,,,
129,,,,,X,,,X,,,X,,,,X
130,,,X,,,X,,,X,,,,X,,
131,,X,,,,X,,,X,,,,X,,
132,,,X,,,X,,,,,,X,X,,
133,,,X,,,X,,,,,,X,X,,
134,X,,,,,,X,,,X,,,X,,
135,,X,,,,,X,,,,X,,,,
136,X,,,,,,X,,,X,,,X,X,
137,,X,,,,,X,,,,X,,,,
138,,,,X,,X,,,,,X,,X,,X
139,,,,,X,X,,,,,,X,,,
140,,X,,,,,,X,,,X,,,,
141,,X,,,,,X,,,,X,,X,,
142,,,,X,,,,X,,,,X,X,,
143,,X,,,,,X,,,,X,,X,,
144,,,X,,,X,,,,X,,,X,X,
145,,X,,,,X,,,,,X,,,X,
146,,,,X,,X,,,X,,,,,X,
147,,,X,,,X,,,,X,,,X,,
148,,,X,,,X,,,,X,,,X,,
149,,X,,,,,X,,,,,X,X,,
150,,,X,,,X,,,,,,X,X,,
151,,X,,,,,X,,,,X,,X,X,
152,,,X,,,,,X,X,,,,X,X,
153,,,,X,,X,,,,X,,,,,
154,,X,,,,X,,,,X,,,,,
155,,X,,,,,,X,,X,,,,,
156,,,,X,,X,,,,X,,,,,X
157,,,,X,,X,,,,X,,,X,,
158,X,,,,,,X,,,X,,,,,
159,,X,,,,X,,,,X,,,X,,
160,,X,,,,X,,,,,X,,,,
161,X,,,,,,X,,,X,,,X,,
162,,,X,,,,X,,,X,,,,X,
163,,,X,,,X,,,,X,,,X,X,
164,X,,,,,,X,,,,X,,,,X
165,,X,,,,,X,,,X,,,X,,
166,,,,,X,X,,,,X,,,,,
167,,,X,,,,,X,,X,,,X,,
168,,,X,,,X,,,,,X,,,,
169,,X,,,,,X,,,X,,,X,X,
170,,,X,,,X,,,,X,,,,,
171,,X,,,,,X,,,,X,,,,
172,,,X,,,,X,,,X,,,X,X,
173,,X,,,,X,,,,X,,,X,,
174,,,X,,,X,,,,,X,,,,
175,,,X,,,X,,,,X,,,X,X,
176,,,X,,,X,,,,X,,,X,X,
177,,X,,,,X,,,,X,,,X,,
178,,X,,,,X,,,,,,X,,,
179,,X,,,,X,,,,,X,,X,,
180,X,,,,,,X,,,,X,,X,X,
181,,X,,,,,X,,,X,,,,X,
182,,X,,,,,X,,,X,,,X,,
183,,,X,,,,,X,,X,,,,,
184,,X,,,,X,,,,X,,,X,,
185,,X,,,,X,,,,,X,,X,,
186,,X,,,,X,,,,,X,,X,,
187,,X,,,,,X,,,X,,,X,,
188,,X,,,,X,,,,X,,,X,,
189,,,,X,,X,,,,X,,,X,,X
190,,,X,,,X,,,X,,,,X,X,
191,,X,,,,X,,,,X,,,X,,
192,,X,,,,,X,,,,X,,,,
193,,X,,,,X,,,,X,,,,,
194,X,,,,,,X,,,X,,,,,
195,,,,X,,,,X,,X,,,X,,
196,X,,,,,,X,,,X,,,X,,
197,,X,,,,X,,,,X,,,,X,
198,,,X,,,X,,,,,X,,,,
199,,,,,X,X,,,,X,,,,,X
200,,X,,,,,X,,,,X,,X,,
201,,,X,,,X,,,,X,,,,,
202,,X,,,,,X,,,,X,,X,,X
203,,X,,,,,,X,,,X,,X,,
204,X,,,,,,X,,,,X,,,,X
205,,,X,,,,X,,,,X,,X,,
206,,,X,,,X,,,,X,,,X,X,
207,X,,,,,X,,,,X,,,X,,
208,,X,,,,,X,,,X,,,X,,
209,,,,X,,X,,,,X,,,,,
210,,X,,,,,X,,,X,,,X,,
211,X,,,,,,X,,,X,,,X,,
212,,X,,,,X,,,,,X,,X,,
213,,,,X,,X,,,,X,,,,,
214,,X,,,,X,,,,,X,,,,
215,,,X,,,X,,,,,X,,X,,X
216,,,X,,,X,,,,X,,,,,
217,,X,,,,X,,,,X,,,X,,
218,,,X,,,X,,,X,,,,X,X,
219,,,X,,,X,,,,X,,,,,
220,,,,X,,X,,,,,X,,X,,
221,,X,,,,X,,,,X,,,X,,
222,,,X,,,X,,,X,,,,,,
223,,,X,,,X,,,X,,,,,,
224,,,,X,,X,,,X,,,,X,,
225,,X,,,,,X,,,X,,,X,,
226,,X,,,,X,,,,X,,,,,
227,,X,,,,X,,,,X,,,X,,
228,,X,,,,X,,,X,,,,X,,
229,,X,,,,X,,,,,X,,X,X,
230,,,,X,,X,,,,X,,,,,
231,,,X,,,X,,,,,X,,,,
232,,,X,,,,X,,,X,,,X,,
233,,,X,,,,X,,,X,,,X,,
234,,X,,,,,X,,,X,,,,,
235,,,X,,,,,X,,X,,,,,
236,,X,,,,X,,,,X,,,X,,
237,,,,X,,X,,,,,,X,X,,
238,,,,X,,X,,,X,,,,,,
239,,,,X,,X,,,,,X,,X,,
240,,X,,,,,X,,,X,,,X,,
241,,,,X,,X,,,,,X,,,,
242,,,X,,,X,,,,,X,,,,
243,X,,,,,X,,,,X,,,X,X,
244,,,,X,,X,,,,X,,,X,,
245,,X,,,,X,,,,,X,,X,,
246,,,X,,,X,,,,X,,,X,,
247,,X,,,,,X,,,X,,,,,
248,,,X,,,X,,,,,X,,X,,
249,,,X,,,X,,,,X,,,,X,
250,,X,,,,X,,,,,X,,X,,
251,,X,,,,X,,,,,X,,,,
252,,,,X,,,,X,X,,,,,X,
253,,,,X,,X,,,X,,,,X,,
254,,,X,,,X,,,X,,,,,,
255,,,,X,,X,,,,X,,,X,X,
256,,X,,,,X,,,,,X,,,X,
257,X,,,,,,X,,,X,,,,,
258,,,X,,,,,X,,,X,,X,,
259,X,,,,,,X,,,X,,,,X,X
260,,,,X,,X,,,,X,,,X,X,
261,,X,,,,,X,,,X,,,,,
262,,X,,,,,X,,,,X,,,,
263,,,,X,,X,,,,,X,,,X,
264,,,,X,,X,,,,,X,,,,
265,,,X,,,X,,,,X,,,X,X,
266,X,,,,,,X,,,X,,,X,,
267,,X,,,,X,,,,,X,,X,X,
268,,X,,,,,X,,,X,,,X,,
269,,,,X,,,,X,,X,,,,,
270,,,X,,,X,,,,X,,,X,,
271,X,,,,,,X,,,X,,,X,X,X
272,,,X,,,X,,,,X,,,,,
273,,X,,,,X,,,,X,,,X,,
274,,X,,,,,X,,,,X,,X,,
275,,X,,,,X,,,,X,,,X,,
276,,X,,,,X,,,,,X,,,,
277,,X,,,,,X,,,,X,,,,
278,,,,X,,X,,,X,,,,,,
279,,,,X,,,,X,X,,,,X,,
280,,,,X,,X,,,,,X,,,,
281,,X,,,,X,,,,X,,,X,,
282,,X,,,,,X,,,X,,,X,,
283,,,X,,,,,X,,X,,,,,
284,,,X,,,X,,,,X,,,,,
285,X,,,,,,X,,,,X,,X,,
286,,,X,,,X,,,,X,,,X,,
287,X,,,,,X,,,,X,,,X,,
288,,,X,,,X,,,,,X,,X,,
289,,X,,,,X,,,,,X,,,X,X
290,,,,X,,X,,,X,,,,X,,X
291,,,X,,,X,,,,X,,,X,,
292,,,,X,,X,,,,X,,,,,
293,,,,X,,,,X,,X,,,X,X,
294,,,X,,,X,,,,,X,,,,
295,,,X,,,,,X,,,,X,X,,X
296,X,,,,,X,,,,,X,,,,
297,,,X,,,,,X,X,,,,X,,X
298,,X,,,,X,,,,X,,,X,X,X
299,,X,,,,X,,,,X,,,X,,X
300,,,,,X,,,X,X,,,,,,
301,,,,,X,,,X,X,,,,,,
302,,,,X,,X,,,,X,,,X,,
303,,X,,,,X,,,,X,,,X,,
304,,,,X,,X,,,,,,X,,X,
305,,,,X,,X,,,,X,,,,X,
306,,,X,,,X,,,,X,,,X,,X
307,,X,,,,X,,,X,,,,X,X,
308,,X,,,,X,,,,,X,,X,,
309,,X,,,,X,,,,,X,,,,
310,,,X,,,X,,,,X,,,X,X,
311,,,,X,,X,,,,,,X,,,
312,,,X,,,,X,,X,,,,X,,
313,,,X,,,X,,,,,X,,,X,
314,X,,,,,,X,,,,X,,X,,X
315,,X,,,,X,,,X,,,,X,,
316,,,X,,,X,,,,X,,,,,
317,,,,X,,X,,,X,,,,,X,
318,,X,,,,X,,,,X,,,,,X
319,X,,,,,,X,,,X,,,,,
320,,,X,,,X,,,,,,X,,,
321,,X,,,,X,,,,X,,,,,
322,,,,,X,,X,,,,X,,,X,
323,,X,,,,X,,,,,X,,,,X
324,,,X,,,X,,,X,,,,X,X,
325,,X,,,,X,,,,X,,,,,
326,,,,X,,X,,,,X,,,,X,
327,,X,,,,,X,,,,X,,X,,X
328,,X,,,,X,,,,X,,,,,X
329,,,X,,,,X,,,X,,,X,,
330,,X,,,,X,,,,X,,,,,
331,X,,,,,,X,,,,X,,X,,
332,,X,,,,X,,,,X,,,X,,
333,,X,,,,X,,,X,,,,X,,X
334,,X,,,,,X,,,,X,,,,X
335,,,X,,,,,X,,,X,,,X,
336,,X,,,,X,,,X,,,,,,
337,,X,,,,,X,,,,X,,X,,
338,,,,,X,X,,,X,,,,,,
339,,,,X,,,,X,X,,,,,,
340,,,X,,,X,,,,,X,,X,X,
341,,,,X,,X,,,,,X,,,,
342,,,,,X,,X,,,,X,,,X,
343,,,X,,,,X,,,,X,,X,,
344,,X,,,,,X,,,,,X,X,,
345,,X,,,,,X,,,X,,,X,X,
346,,,,X,,X,,,,,X,,,,
347,,,,X,,X,,,X,,,,,,X
348,,,X,,,X,,,,X,,,X,X,
349,,,X,,,X,,,,,X,,X,,
350,,X,,,,X,,,,X,,,X,,
351,,X,,,,X,,,,,X,,X,,
352,,X,,,,X,,,,,X,,,X,
353,,,,X,,X,,,,,X,,,,
354,X,,,,,X,,,,,X,,X,,
355,,X,,,,,X,,,X,,,X,,
356,,,X,,,X,,,,X,,,X,,
357,X,,,,,,X,,,,,X,,,
358,,,X,,,,,X,,X,,,,,X
359,X,,,,,,X,,,X,,,X,,
360,,X,,,,,X,,,,X,,,,
361,,,X,,,X,,,X,,,,X,X,
362,,,,X,,X,,,X,,,,X,,
363,,,X,,,X,,,,X,,,X,,
364,,,X,,,X,,,,,X,,,,
365,X,,,,,,X,,,X,,,,,
366,,X,,,,,X,,,X,,,X,,
367,,X,,,,,X,,,,X,,X,,
368,,,,,X,,X,,X,,,,,,X
369,,X,,,,X,,,,X,,,X,,
370,,,,X,,X,,,,,X,,,,
371,,,,,X,X,,,X,,,,,,
372,,X,,,,X,,,,X,,,,,
373,,,,X,,X,,,,X,,,X,,
374,,,X,,,X,,,,X,,,X,,
375,,X,,,,,X,,,X,,,X,,
376,,,X,,,X,,,X,,,,X,,
377,,X,,,,X,,,,,X,,X,,X
378,,,,X,,,,X,X,,,,X,,
379,X,,,,,,X,,,X,,,X,,
380,,X,,,,X,,,,X,,,X,,
381,,X,,,,X,,,X,,,,X,,
382,,,,X,,X,,,,,X,,,,X
383,,X,,,,X,,,,X,,,X,,
384,,,X,,,X,,,X,,,,X,,
385,,,X,,,X,,,X,,,,,,
386,,,X,,,X,,,,,X,,,,
387,,,X,,,X,,,,X,,,X,,
388,,X,,,,X,,,,X,,,,,
389,,X,,,,X,,,,X,,,X,,
390,,X,,,,,X,,,,X,,X,,
391,X,,,,,,X,,X,,,,X,X,
392,,,,,X,X,,,,,,X,,,
393,,X,,,,X,,,,X,,,,,
394,,X,,,,X,,,,X,,,X,,
395,,,X,,,X,,,,X,,,X,,
396,,X,,,,X,,,,X,,,X,,
397,,X,,,,,X,,,,X,,,,
398,,X,,,,X,,,X,,,,X,X,
399,,X,,,,X,,,X,,,,X,,
400,,X,,,,,,X,,,X,,X,,
401,X,,,,,,X,,,X,,,,X,X
402,X,,,,,,X,,,X,,,,,
403,,,X,,,X,,,X,,,,,X,
404,,,,X,,X,,,,X,,,,,
405,,,X,,,X,,,,X,,,X,,
406,,,X,,,X,,,,,X,,X,,
407,,X,,,,X,,,,X,,,,,
408,,,X,,,X,,,,X,,,X,,
409,,,,X,,X,,,,X,,,,,X
410,,,X,,,X,,,,,X,,,,
411,,X,,,,,X,,,X,,,,,
412,,,,,X,,,X,,,X,,X,,X
413,,,X,,,X,,,,,X,,,,
414,,,,X,,X,,,,X,,,,,
415,,,X,,,,,X,,,X,,,,X
416,,X,,,,,X,,,X,,,,,
417,,,X,,,,X,,X,,,,,,
418,,X,,,,X,,,,X,,,X,X,
419,,,X,,,X,,,,X,,,X,X,
420,,,X,,,,,X,,X,,,X,,
421,,X,,,,X,,,,,X,,X,,
422,X,,,,,,X,,,,X,,X,,
423,,X,,,,,X,,,,X,,X,,
424,,X,,,,,X,,,X,,,X,,
425,X,,,,,,X,,X,,,,X,,
426,,X,,,,X,,,X,,,,X,X,
427,X,,,,,X,,,,,X,,X,,
428,,X,,,,X,,,,X,,,X,,
429,,,X,,,X,,,,,X,,X,,
430,,,,X,,X,,,X,,,,,,
431,X,,,,,X,,,,,X,,X,,
432,,X,,,,,X,,,,X,,X,,
433,,,X,,,X,,,,X,,,,,
434,,,,X,,X,,,,,X,,,X,
435,,,,X,,,,X,,,X,,,,
436,,X,,,,X,,,,,X,,X,,
437,X,,,,,,X,,,X,,,X,,
438,,X,,,,X,,,,X,,,X,,
439,,,X,,,X,,,,,X,,X,,
440,,X,,,,,,X,,,X,,X,,
441,,X,,,,,X,,,X,,,X,,
442,,,X,,,,X,,,X,,,,,
443,,X,,,,X,,,,,X,,X,,X
444,,,,,X,X,,,,X,,,,,
445,X,,,,,X,,,,X,,,X,,
446,,X,,,,X,,,,X,,,X,,
447,,,,,X,X,,,,,X,,,,
448,,,X,,,X,,,,X,,,,,
449,,X,,,,X,,,,,X,,X,,
450,,X,,,,X,,,,X,,,X,,X
451,,X,,,,,,X,,X,,,X,,
452,X,,,,,X,,,,X,,,X,X,
453,,X,,,,X,,,,X,,,X,,
454,,,X,,,X,,,,,X,,,,
455,,,X,,,X,,,,X,,,X,,
456,,X,,,,,X,,,,X,,,,X
457,X,,,,,,X,,,X,,,,X,
458,,,X,,,,X,,,X,,,,,
459,,,X,,,,,X,,,X,,,,
460,,,,X,,X,,,,,X,,,,
461,,,,X,,X,,,,X,,,X,,
462,,,X,,,,,X,,,X,,,,
463,,X,,,,,,X,,X,,,X,,
464,,X,,,,X,,,,X,,,X,,X
465,,,,X,,X,,,,X,,,,,
466,,X,,,,X,,,,X,,,X,,
467,,X,,,,X,,,,,X,,X,,
468,,,X,,,,X,,,X,,,X,,
469,,X,,,,,X,,X,,,,X,,
470,,,X,,,X,,,,,X,,X,,
471,,,,X,,X,,,,X,,,X,,
472,,X,,,,X,,,,X,,,X,,
473,,,,,X,X,,,,X,,,,,X
474,,,X,,,X,,,,,X,,X,,
475,,,,X,,X,,,X,,,,X,,
476,,,X,,,X,,,,X,,,X,,
477,,,,,X,X,,,,,X,,,,X
478,,X,,,,X,,,,X,,,X,,
479,,,,X,,X,,,,X,,,X,,
480,,X,,,,,X,,,,,X,X,,
481,,,,X,,,X,,,X,,,X,,
482,,,X,,,X,,,,X,,,X,,
483,,,X,,,X,,,,,X,,,,
484,,,,X,,X,,,,,X,,X,,
485,,,,X,,X,,,X,,,,X,,
486,,,,X,,,,X,,X,,,X,,
487,,,,X,,X,,,X,,,,X,,
488,,,,X,,,X,,X,,,,X,,
489,,X,,,,X,,,,,X,,X,,
490,,,,X,,X,,,,,,X,X,,
491,,X,,,,,,X,,X,,,X,,
492,,,,X,,X,,,,X,,,,,X
493,,,X,,,X,,,,X,,,,,X
494,,,X,,,,X,,,X,,,X,,X
495,,,X,,,,,X,,,X,,X,,
496,,,,X,,X,,,,X,,,X,,
497,,X,,,,,X,,,X,,,X,X,
498,,X,,,,,X,,,X,,,,X,
499,,,X,,,,X,,,,X,,X,,
500,,X,,,,,X,,,,X,,,,
501,,,,X,,X,,,,X,,,X,X,
502,,X,,,,X,,,,,X,,,,
503,X,,,,,,X,,X,,,,,,X
504,,,X,,,X,,,,,X,,,,
505,,X,,,,X,,,,X,,,X,,
506,,,,X,,,X,,X,,,,,X,
507,,,X,,,,,X,,,X,,X,,
508,,,X,,,,X,,,X,,,X,,
509,,X,,,,,X,,,X,,,,,X
510,,X,,,,X,,,,X,,,X,X,
511,,X,,,,X,,,,,X,,X,,
512,,,,X,,X,,,,X,,,X,,X
513,,,X,,,,,X,,,X,,X,,
514,,X,,,,X,,,,,X,,X,,
515,,,X,,,,,X,X,,,,,,
516,,X,,,,X,,,,,X,,X,X,
517,,X,,,,X,,,X,,,,X,,X
518,,X,,,,X,,,,,X,,X,,
519,,,,,X,X,,,,X,,,,,
520,,,,X,,X,,,,X,,,,,
521,,,,X,,X,,,,X,,,,,
522,,,X,,,,,X,,X,,,X,,
523,,,X,,,X,,,X,,,,,,
524,,,X,,,X,,,,X,,,X,,
525,,,,X,,X,,,X,,,,,,
526,X,,,,,X,,,,X,,,X,,
527,,,X,,,,,X,,X,,,,,
528,,,X,,,X,,,X,,,,X,,
529,,,X,,,X,,,,,X,,X,,
530,,X,,,,,X,,,X,,,X,,
531,,,,X,,X,,,X,,,,X,,
532,,X,,,,,X,,,X,,,X,,
533,,,X,,,,,X,,X,,,X,,
534,X,,,,,X,,,,X,,,,,
535,,,,X,,X,,,X,,,,,,
536,,,X,,,X,,,,,X,,,,
537,X,,,,,,X,,,X,,,,,
538,,,X,,,X,,,,,X,,,,
539,,,X,,,X,,,,X,,,X,X,
540,,,X,,,,X,,,X,,,,,X
541,X,,,,,,X,,,,,X,,,
542,X,,,,,X,,,,X,,,X,,
543,,,X,,,X,,,,X,,,X,,
544,,,X,,,X,,,,X,,,,,
545,,X,,,,X,,,X,,,,X,,
546,,,X,,,X,,,,X,,,,,
547,,,,X,,X,,,,,X,,,,
548,,X,,,,,X,,,,X,,,,
549,X,,,,,,X,,,X,,,X,,
550,,,,X,,X,,,X,,,,,,
551,,X,,,,X,,,,X,,,X,,
552,,,,,X,X,,,,X,,,,,
553,,,X,,,X,,,,,X,,X,,
554,,,X,,,,X,,,X,,,,,
555,,X,,,,X,,,,X,,,X,,
556,,,,X,,X,,,X,,,,,,
557,,,X,,,,X,,,,X,,,,X
558,,,X,,,X,,,,X,,,,X,X
559,,,X,,,,,X,,X,,,X,,
560,,X,,,,X,,,,X,,,X,,
561,X,,,,,,X,,,X,,,,,
562,,X,,,,X,,,,X,,,X,,
563,,,,X,,X,,,,X,,,X,,
564,,X,,,,X,,,,X,,,X,,
565,,,X,,,X,,,,X,,,X,X,
566,X,,,,,,X,,,,X,,,,
567,,X,,,,,,X,,,X,,X,,
568,,,,X,,X,,,X,,,,,,
569,X,,,,,,X,,,X,,,,,
570,,,X,,,X,,,,,,X,X,,
571,,,,X,,X,,,,X,,,,,
572,,,,X,,X,,,,,X,,X,,
573,,,,,X,X,,,,X,,,,,
574,,X,,,,,,X,,X,,,X,,
575,,,,X,,X,,,,,,X,,,
576,,,X,,,X,,,,X,,,X,X,
577,,X,,,,X,,,,,X,,X,,
578,,,X,,,X,,,,X,,,,,
579,,X,,,,,X,,,,X,,,X,
580,X,,,,,X,,,,,X,,X,X,
581,X,,,,,,X,,,X,,,,,X
582,,X,,,,X,,,,X,,,X,X,
583,,X,,,,,X,,,,X,,,,
584,,,,X,,X,,,,X,,,X,,
585,,,X,,,,,X,,,X,,X,,
586,,X,,,,,X,,,X,,,X,,
587,,X,,,,X,,,,,X,,X,X,
588,,,X,,,X,,,,X,,,X,,
589,,,X,,,X,,,,X,,,,X,
590,,,X,,,X,,,,,X,,,,
591,,X,,,,X,,,,X,,,,X,
592,,,X,,,X,,,,X,,,X,X,
593,,X,,,,X,,,,X,,,,,
594,,X,,,,,X,,,,X,,X,,
595,X,,,,,X,,,,,,X,,,
596,,,X,,,X,,,X,,,,X,,
597,,X,,,,X,,,X,,,,,,
598,,,,,X,,,X,,,,X,X,,
599,,,X,,,,,X,,X,,,X,,
600,,,,X,,,,X,,,X,,X,X,
601,,,,X,,X,,,,,X,,X,X,
602,,,,X,,X,,,X,,,,X,,
603,,X,,,,,X,,,X,,,,,X
604,,,X,,,X,,,X,,,,X,,
605,,X,,,,X,,,,X,,,X,X,
606,X,,,,,X,,,,X,,,X,,
607,,X,,,,,,X,,,X,,,,
608,,,,X,,,X,,,,X,,,,
609,,,X,,,X,,,,,X,,X,X,
610,,,,X,,,X,,,X,,,,,
611,,X,,,,X,,,,X,,,X,,
612,X,,,,,,X,,,,X,,,,
613,,,X,,,X,,,,,X,,,,X
614,,X,,,,X,,,,,X,,X,,
615,,X,,,,X,,,,X,,,X,,
616,X,,,,,,X,,,,X,,X,X,
617,,X,,,,,X,,,X,,,,,
618,,X,,,,X,,,,,X,,X,,
619,,X,,,,X,,,,,X,,,,X
620,,X,,,,X,,,X,,,,X,,
621,,X,,,,,X,,,,X,,X,,
622,,X,,,,,X,,,X,,,X,,
623,,,X,,,,X,,,,X,,,,
624,,X,,,,X,,,,,X,,,,
625,,X,,,,X,,,,X,,,X,X,
626,,X,,,,,X,,,,X,,X,,
627,,,,X,,X,,,,X,,,X,X,
628,,,X,,,X,,,,X,,,,,
629,,,,X,,X,,,,,X,,,,
630,,X,,,,,X,,,,X,,X,X,X
631,,X,,,,X,,,,,X,,,,
632,,,,X,,X,,,,X,,,X,,
633,,,,,X,X,,,,X,,,,,
634,,,,X,,,,X,,,X,,,,X
635,,X,,,,,,X,,,X,,,X,
636,,,X,,,,,X,X,,,,X,,
637,,X,,,,X,,,,X,,,,,
638,,X,,,,,,X,,X,,,,X,
639,X,,,,,,X,,,,X,,X,,X
640,,,,X,,,,X,,,,X,,,
641,,,,X,,X,,,,,,X,,,
642,,,,X,,,X,,,X,,,X,,
643,,X,,,,X,,,,,X,,X,,X
644,,X,,,,,X,,,,X,,X,X,
645,,,X,,,X,,,,X,,,,,X
646,,,,X,,X,,,,,X,,,,
647,,,X,,,,,X,,,X,,X,,
648,X,,,,,X,,,,X,,,X,,
649,,,,,X,X,,,X,,,,X,X,
650,,X,,,,,X,,,,X,,X,,
651,X,,,,,,X,,,,X,,,,
652,,,,X,,,,X,,,X,,X,,
653,,,X,,,X,,,,X,,,,X,
654,,,,X,,X,,,,X,,,,,
655,,,,X,,X,,,X,,,,X,,
656,,,,X,,,,X,X,,,,X,,
657,,,,,X,X,,,X,,,,,,
658,,,X,,,X,,,,X,,,,,
659,,,X,,,X,,,,,X,,X,,
660,,X,,,,,,X,,X,,,X,X,
661,X,,,,,,X,,,,X,,X,,X
662,,X,,,,,X,,,,X,,X,,X
663,,,,X,,X,,,X,,,,X,,
664,,,X,,,,X,,,X,,,X,,
665,,,,X,,X,,,,X,,,,,
